Date,Close-Stock-1,Close-Stock-2,Close-Stock-3,Close-Stock-4,Close-Stock-5
2011-09-28,0.05860609,0.05860609,0.5469271,0.6848503,0.05860609
2011-09-29,0.05860609,0.05860609,0.6848503,0.2651525,0.05860609
2011-09-30,0.12722936,0.05860609,0.6848503,0.6848503,0.05860609
2011-10-03,0.05860609,0.05860609,0.6848503,0.05860609,0.05860609
2011-10-04,0.05860609,0.05860609,0.19652918,0.05860609,0.05860609
2011-10-05,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-10-07,0.05860609,0.05860609,0.19011167,0.05860609,0.05860609
2011-10-10,0.05860609,0.05860609,0.6848503,0.05860609,0.05860609
2011-10-11,0.05860609,0.05860609,0.76510954,0.05860609,0.05860609
2011-10-12,0.05860609,0.05860609,0.78131384,0.05860609,0.05860609
2011-10-13,0.6848503,0.12722936,0.7658632,0.6848503,0.5469271
2011-10-14,0.2651525,0.2651525,0.19652918,0.6848503,0.12722936
2011-10-17,0.85992956,0.6928137,0.6905031,0.84704244,0.6856456
2011-10-18,0.783695,0.6848503,0.5469271,0.6848503,0.5469271
2011-10-19,0.8956049,0.81922936,0.5469271,0.8624642,0.6848503
2011-10-20,0.8956049,0.7658632,0.6848503,0.6848503,0.6848503
2011-10-21,0.8956049,0.69846654,0.62106204,0.6848503,0.78767896
2011-10-24,0.8956049,0.8758196,0.05860609,0.6848503,0.8956049
2011-10-25,0.6627357,0.8956049,0.05860609,0.6848503,0.8136512
2011-10-26,0.5530156,0.8956049,0.05860609,0.6848503,0.7611255
2011-10-28,0.8956049,0.8956049,0.19652918,0.8956049,0.8956049
2011-10-31,0.8956049,0.8956049,0.19652918,0.8956049,0.89255786
2011-11-01,0.8956049,0.8956049,0.6848503,0.8956049,0.87589335
2011-11-02,0.8956049,0.8956049,0.22761488,0.72356206,0.7169761
2011-11-03,0.8708731,0.8956049,0.6848503,0.6848503,0.6848503
2011-11-04,0.8956049,0.8956049,0.84547067,0.6928137,0.78767896
2011-11-08,0.8956049,0.8956049,0.82989454,0.6848503,0.8624642
2011-11-09,0.8956049,0.8956049,0.6905031,0.6848503,0.727656
2011-11-11,0.6848503,0.8956049,0.6162269,0.05860609,0.6162269
2011-11-14,0.7315255,0.8956049,0.12722936,0.05860609,0.05860609
2011-11-15,0.6928137,0.8956049,0.05860609,0.05860609,0.05860609
2011-11-16,0.47830373,0.8956049,0.05860609,0.05860609,0.05860609
2011-11-17,0.05860609,0.8956049,0.05860609,0.05860609,0.05860609
2011-11-18,0.05860609,0.62106204,0.05860609,0.05860609,0.05860609
2011-11-21,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-11-22,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-11-23,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-11-24,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-11-25,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-11-28,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-11-29,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-11-30,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-01,0.05860609,0.6856456,0.05860609,0.05860609,0.05860609
2011-12-02,0.05860609,0.6848503,0.05860609,0.05860609,0.05860609
2011-12-05,0.05860609,0.6905031,0.05860609,0.05860609,0.05860609
2011-12-07,0.5469271,0.8052118,0.05860609,0.05860609,0.05860609
2011-12-08,0.05860609,0.6162269,0.05860609,0.05860609,0.05860609
2011-12-09,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-12,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-13,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-14,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-15,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-16,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-19,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-20,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-21,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-22,0.05860609,0.05860609,0.05860609,0.05860609,0.05860609
2011-12-23,0.05860609,0.5469271,0.05860609,0.05860609,0.05860609
2011-12-26,0.05860609,0.2651525,0.05860609,0.05860609,0.05860609
2011-12-27,0.05860609,0.6848503,0.05860609,0.05860609,0.05860609
2011-12-28,0.05860609,0.6848503,0.05860609,0.05860609,0.05860609
